ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C1,71.709,-67.306,252.6,10.6,4.8,109,6.3,0.61,1.2,0.5095930802,0.4,0.1698643601,830,47,4747.6,9400,1100,76,1.03
C2,71.721,-67.226,249.4,11.2,7.8,163,15.2,0.38,1.33,0.5647989972,0.21,0.08917878903,2760,15,15787.2,28100,630,273,1.4
C3,71.757,-67.181,247.9,10.8,6.7,136,13.1,0.57,1.2,0.5095930802,0.32,0.135891488,1600,45,9152,19500,860,95,1.3
C4,71.791,-67.157,265.4,5.9,5.3,126,5.9,1.39,0.47,0.1995906231,1.16,0.4926066442,360,114,2059.2,1400,2690,32,0.74
C5,71.798,-67.116,261.9,14.5,5.8,97,13.2,0.4,0.59,0.2505499311,0.36,0.1528779241,1050,25,6006,4800,950,79,1.44
C6,71.819,-67.218,250.4,14,5.8,145,13,0.58,1.73,0.7346633572,0.33,0.140138097,2100,61,12012,40600,900,100,1.05
C7,71.845,-69.165,240,17.8,7.5,112,19.2,0.14,0.8,0.3397287201,0.13,0.05520591702,5290,7,30258.8,12900,290,410,2.78
C8,71.859,-67.237,255.9,14.2,6.9,169,16,0.64,1.66,0.7049370942,0.47,0.1995906231,3710,82,21221.2,46000,1070,112,1.45
C9,71.861,-67.195,259,9.3,4.4,172,,,1.55,0.6582243952,0.27,0.114658443,3740,31,21392.8,0,0,141,1.91
C10,71.906,-67.209,256.9,7.6,5.7,42,8.6,1.17,1.19,0.5053464712,0.46,0.1953440141,2830,51,16187.6,12600,1580,80,1.85
C11,71.945,-69.207,238.6,12.7,6,9,12.9,0.4,1.07,0.4543871632,0.39,0.1656177511,1760,44,10067.2,15400,940,83,1.77
C12,71.971,-67.214,265,15.7,5.3,146,12,0.24,1.08,0.4586337722,0.15,0.06369913502,3450,10,19734,14500,410,325,2.09
C13,71.982,-67.351,256.9,14.3,8.1,20,18.1,0.52,1.72,0.7304167482,0.71,0.3015092391,2680,44,15329.6,55600,1730,121,1.22
C14,72.03,-67.325,258.3,7.3,5.8,116,8.5,0.82,1.14,0.4841134262,0.48,0.2038372321,1130,45,6463.6,11500,1410,68,1.5
C15,72.045,-67.291,257.8,5.4,2.4,99,,,1,0.4246609001,0.78,0.3312355021,630,49,3603.6,0,0,41,1.24
C16,72.221,-69.165,239.8,10.7,6.5,142,12.6,0.54,1.43,0.6072650872,0.26,0.110411834,5350,22,30602,26900,850,182,2.74
C17,72.236,-69.19,238.8,7.1,2.3,31,,,1.1,0.4671269902,0.78,0.3312355021,2800,135,16016,0,0,26,1.77
C18,72.237,-68.373,250.9,15.9,8.9,162,20.6,0.26,2.11,0.8960344993,0.14,0.05945252602,5870,17,33576.4,95400,390,401,2.13
C19,72.249,-68.609,247.2,13.2,6.8,48,14.9,1.11,1.43,0.6072650872,0.83,0.3524685471,4570,91,26140.4,31500,1940,36,2.62
C20,72.253,-69.209,240.6,9.6,7.5,180,13.4,0.44,0.53,0.2250702771,0.53,0.2250702771,2250,43,12870,4000,1070,82,2.33
C21,72.285,-68.097,253.1,4.8,4.7,169,2.1,1.81,0.79,0.3354821111,0.43,0.1826041871,360,49,2059.2,1400,2010,35,1.25
C22,72.306,-69.137,240.5,10.1,7.3,78,13.7,0.47,0.93,0.3949346371,0.39,0.1656177511,1470,24,8408.4,12200,980,98,1.87
C23,72.311,-68.431,247.7,16.5,11.6,152,24.8,0.19,1.88,0.7983624923,0.17,0.07219235302,8960,17,51251.2,91100,450,346,2.51
C24,72.313,-68.586,248.2,12.3,8.8,2,17.7,0.82,0.72,0.3057558481,0.93,0.3949346371,4210,102,24081.2,9500,1970,43,2.44
C25,72.334,-68.552,250.6,8.5,5.9,71,9.8,0.93,1.07,0.4543871632,0.37,0.1571245331,1230,32,7035.6,11600,1240,95,1.2
C26,72.346,-68.115,253.3,5.6,2.8,70,,,1.85,0.7856226653,0.26,0.110411834,1540,26,8808.8,0,0,135,1.17
C27,72.356,-68.526,249.6,7.9,2.8,21,,,0.49,0.2080838411,0.98,0.4161676821,440,99,2516.8,0,0,22,1.56
C28,72.363,-68.144,247.5,6.8,7.8,25,10.7,0.87,1.07,0.4543871632,0.62,0.2632897581,990,51,5662.8,12700,1640,61,1.01
C29,72.377,-69.2,241.7,23.9,8.6,122,24.9,0.18,1.65,0.7006904852,0.21,0.08917878903,4160,14,23795.2,70400,490,300,2
C30,72.378,-68.486,248.3,13.1,6.6,169,14.6,0.24,1.48,0.6284981322,0.15,0.06369913502,6250,14,35750,33400,400,356,2.54
C31,72.392,-68.426,250.3,5.9,5.2,36,5.7,1.38,0.53,0.2250702771,0.72,0.3057558481,650,117,3718,1700,2280,31,1.73
C32,72.4,-68.368,250,15.2,7.5,52,17.7,0.26,1.87,0.7941158833,0.1,0.04246609001,11150,7,63778,64200,360,571,3.57
C33,72.513,-68.42,249.2,20.9,7.1,139,20,0.16,1.22,0.5180862982,0.14,0.05945252602,6570,6,37580.4,30900,360,451,3.49
C34,72.524,-69.547,241.4,8.8,3.4,5,,,1.52,0.6454845682,0.64,0.2717829761,1240,64,7092.8,0,0,39,1.52
C35,72.552,-69.192,242.3,5.4,4.6,162,,,1.43,0.6072650872,0.6,0.2547965401,690,66,3946.8,0,0,52,1.01
C36,72.601,-69.513,242.1,15.1,5,38,10,0.29,1.02,0.4331541181,0.24,0.101918616,2290,15,13098.8,10800,560,178,2.21
C37,72.623,-69.343,237.7,13.4,3.4,44,,,1.44,0.6115116962,0.74,0.3142490661,1290,54,7378.8,0,0,60,1.01
C38,72.627,-69.21,238.4,4.7,3.4,68,,,0.74,0.3142490661,0.33,0.140138097,650,27,3718,0,0,58,1.68
C39,72.71,-69.317,236.4,10.5,6.3,107,12.1,0.36,1.02,0.4331541181,0.27,0.114658443,4660,30,26655.2,13200,600,113,3.49
C40,72.774,-69.315,234,11.7,4.8,38,7.3,0.71,0.81,0.3439753291,0.51,0.2165770591,2310,99,13213.2,5000,1250,37,2.14
C41,72.816,-67.037,275.2,9.2,8.2,142,14.1,0.58,1.24,0.5265795162,0.2,0.08493218003,2170,21,12412.4,22500,750,216,1.65
C42,72.965,-67.187,276.6,10.5,3.2,33,,,1.28,0.5435659522,0.43,0.1826041871,3070,68,17560.4,0,0,83,1.73
C43,72.969,-67.05,275.4,26.7,11.6,139,31.9,0.2,2.46,1.044665814,0.19,0.08068557103,7090,15,40554.8,200900,520,341,3.42
C44,72.979,-69.381,232.9,14.7,10.1,163,21.4,0.2,2.21,0.9385005893,0.07,0.02972626301,12890,4,73730.8,108600,230,1150,4.27
C45,72.99,-67.096,274.4,12.8,6.2,110,13.5,0.39,0.89,0.3779482011,0.27,0.114658443,3190,21,18246.8,11200,570,160,1.81
C46,73.003,-67.013,271.3,9,5,13,7.5,0.69,1.37,0.5817854332,0.33,0.140138097,1480,26,8465.6,14600,990,131,1.42
C47,73.018,-66.861,278.5,9.9,5.5,87,9.7,0.69,1.46,0.6200049142,0.39,0.1656177511,1170,26,6692.4,21600,970,84,1.19
C48,73.031,-67.161,274.6,19.8,2.2,28,,,1.06,0.4501405542,0.47,0.1995906231,4590,64,26254.8,0,0,66,2.63
C49,73.038,-67.239,277.9,10.3,8.1,6,15,0.45,0.74,0.3142490661,0.32,0.135891488,2370,35,13556.4,8500,880,121,2.3
C50,73.044,-66.919,275.2,14.9,10.4,86,22,0.22,2.99,1.269736091,0.08,0.03397287201,9410,4,53825.2,204900,280,950,2.79
C51,73.048,-67.289,274.4,13.3,4.9,66,8.6,0.37,1.24,0.5265795162,0.23,0.09767200703,2410,17,13785.2,13900,620,240,1.43
C52,73.065,-66.983,274.7,8.5,6.5,130,10.9,0.62,1.9,0.8068557103,0.11,0.04671269902,5380,7,30773.6,40900,640,471,2.77
C53,73.075,-67.252,276.1,6.3,3.8,19,,,1.51,0.6412379592,0.74,0.3142490661,500,81,2860,0,0,16,1.28
C54,73.102,-69.35,236.6,3.6,3.8,160,,,1.13,0.4798668172,0.59,0.2505499311,500,50,2860,0,0,40,1.49
C55,73.107,-69.211,247.3,5,5.3,128,4.2,1.39,1.11,0.4713735992,0.57,0.2420567131,1040,49,5948.8,5400,1870,66,1.09
C56,73.181,-69.193,246.6,6.5,4.5,143,,,2.86,1.214530174,0.18,0.07643896203,2360,11,13499.2,0,0,209,2.52
C57,73.232,-68.076,267.3,12.2,6.1,175,12.7,0.55,1.86,0.7898692743,0.75,0.3184956751,3830,78,21907.6,45900,1680,36,2.25
C58,73.244,-68.057,269.4,7.8,11.2,6,15.3,0.78,2.08,0.8832946723,1.01,0.4289075091,4130,109,23623.6,69200,2160,21,2.85
C59,73.258,-68.096,264.9,8.9,7.1,91,12.3,0.85,1.8,0.7643896203,0.68,0.2887694121,5570,91,31860.4,41500,1620,30,2.15
C60,73.281,-69.161,249.6,8.4,7,112,11.6,0.51,1.11,0.4713735992,0.32,0.135891488,2140,22,12240.8,14900,870,119,1.99
C61,73.376,-69.175,248.9,8.6,6.2,16,10.5,1.09,1.44,0.6115116962,0.77,0.3269888931,3720,73,21278.4,22800,2090,63,1.66
C62,73.377,-69.122,249.7,5.6,5.1,5,4.8,1.07,0.78,0.3312355021,0.34,0.144384706,830,28,4747.6,3100,1300,64,2.09
C63,73.448,-69.162,245.6,8.9,7.4,84,12.7,0.49,1.79,0.7601430113,0.22,0.09342539803,8170,27,46732.4,42100,630,292,2.44
C64,73.478,-69.124,247.8,19.3,10.2,136,25,0.39,0.44,0.1868507961,0.73,0.3100024571,3060,53,17503.2,5100,1480,73,1.96
C65,73.512,-69.189,244.6,10.5,8.4,35,15.5,0.49,1.77,0.7516497933,0.37,0.1571245331,7150,30,40898,50600,830,173,2.92
C66,73.537,-69.084,249.3,8.3,3.5,145,,,0.84,0.3567151561,0.81,0.3439753291,550,77,3146,0,0,38,0.87
C67,73.543,-69.148,243,17.9,5.5,154,13.8,0.65,1.63,0.6921972672,0.58,0.2463033221,3090,76,17674.8,38000,1350,83,1.41
C68,73.6,-69.49,232.8,8,5.8,44,9.1,0.43,1.2,0.5095930802,0.23,0.09767200703,1750,20,10010,13500,640,156,1.78
C69,73.606,-69.491,237.7,9.1,3.4,68,,,1.51,0.6412379592,0.33,0.140138097,1310,33,7493.2,0,0,89,1.7
C70,73.608,-69.177,243.1,7.1,7.1,60,10.3,1.07,1.36,0.5775388242,0.49,0.2080838411,2370,60,13556.4,19800,1400,47,2
C71,73.622,-69.158,238.9,9.9,5.6,40,10.2,0.65,0.74,0.3142490661,0.5,0.2123304501,450,79,2574,5700,1300,48,0.83
C72,73.683,-69.137,245.9,7.6,4.9,44,6,0.91,0.76,0.3227422841,0.74,0.3142490661,280,85,1601.6,3600,1500,31,1.03
C73,73.856,-66.568,270.1,6.1,3.8,171,,,0.89,0.3779482011,0.58,0.2463033221,780,30,4461.6,0,0,72,1.13
C74,73.883,-66.487,280.1,10.9,7.2,162,14,0.51,1.38,0.5860320422,0.31,0.131644879,3590,27,20534.8,28000,750,217,1.66
C75,73.884,-68.498,261.9,6.8,4.2,133,,,0.91,0.3864414191,0.55,0.2335634951,420,59,2402.4,0,0,28,1.16
C76,73.888,-68.522,258.2,12.8,5.1,61,9.9,0.4,1.25,0.5308261252,0.31,0.131644879,2280,29,13041.6,16200,790,183,1.35
C77,73.899,-66.535,284.1,8.9,5.7,148,9.7,0.72,0.93,0.3949346371,0.42,0.1783575781,2040,43,11668.8,8800,1060,104,2.03
C78,73.906,-66.47,276,7.2,6.1,34,8.9,0.85,1.17,0.4968532532,0.25,0.106165225,1840,26,10524.8,12700,1040,124,2.09
C79,73.911,-66.569,278.8,11,7.3,111,14.3,0.49,2.39,1.014939551,0.11,0.04671269902,7060,10,40383.2,84700,560,410,3.4
C80,74.063,-66.626,277.5,13.1,8.2,55,17.5,0.52,1.34,0.5690456062,0.39,0.1656177511,7630,48,43643.6,32800,1040,112,2.88
C81,74.074,-66.605,280.4,10.8,4.4,125,,,0.42,0.1783575781,1.41,0.5987718692,1970,100,11268.4,0,0,23,2.67
C82,74.122,-66.535,276.6,6.7,4.3,124,,,0.66,0.2802761941,0.51,0.2165770591,670,56,3832.4,0,0,59,1.59
C83,74.166,-66.541,268.8,4.5,5,77,,,1.28,0.5435659522,0.47,0.1995906231,1010,56,5777.2,0,0,59,1.32
C84,74.188,-66.392,292.9,3.8,2.7,38,,,1.99,0.8450751913,0.66,0.2802761941,400,60,2288,0,0,43,1.22
C85,74.215,-66.405,283.5,9.8,4.9,92,7.5,0.7,4.25,1.804808826,0.1,0.04246609001,4060,8,23223.2,140300,750,395,2.11
C86,74.272,-66.39,285.7,5.2,2.6,82,,,1.89,0.8026091013,0.51,0.2165770591,480,60,2745.6,0,0,53,0.84
C87,74.277,-69.19,236.7,14.3,9.7,10,20.5,0.17,1.72,0.7304167482,0.1,0.04246609001,6570,9,37580.4,63500,290,517,2.4
C88,74.313,-68.437,258.3,12.3,8.9,4,17.7,0.29,1.6,0.6794574402,0.2,0.08493218003,3530,16,20191.6,47000,470,284,1.77
C89,74.319,-66.3,279,20.8,6.3,160,17.8,0.32,2.17,0.9215141533,0.19,0.08068557103,2960,14,16931.2,87300,580,262,1.64
C90,74.32,-66.394,277.2,5.8,3,177,,,1.09,0.4628803812,0.75,0.3184956751,750,96,4290,0,0,45,1.66
C91,74.326,-68.939,258.6,16.6,6.5,139,16.3,0.2,1.67,0.7091837032,0.14,0.05945252602,4210,14,24081.2,47500,330,396,1.85
C92,74.338,-66.46,268.4,6.3,3.7,144,,,1.36,0.5775388242,0.48,0.2038372321,430,62,2459.6,0,0,50,0.87
C93,74.341,-66.38,279.1,14.4,2.2,65,,,0.65,0.2760295851,1.43,0.6072650872,1240,139,7092.8,0,0,32,1.33
C94,74.348,-66.36,282.8,5.2,6.4,33,6.1,1.34,1.74,0.7389099663,0.29,0.123151661,770,55,4404.4,19200,1420,73,1.27
C95,74.355,-68.899,263,7.2,4.7,118,3.5,1,0.75,0.3184956751,0.62,0.2632897581,630,54,3603.6,2100,1750,50,1.3
C96,74.417,-66.443,280,15.4,6.4,172,15.5,0.5,1.5,0.6369913502,0.39,0.1656177511,2800,40,16016,36400,900,104,1.28
C97,74.459,-66.307,285.2,6.2,3.8,56,,,1.84,0.7813760563,0.21,0.08917878903,1420,24,8122.4,0,0,155,1.51
C98,74.46,-66.489,279.1,13.1,5,159,9.3,0.36,3.18,1.350421662,0.14,0.05945252602,7130,7,40783.6,97900,520,522,3.11
C99,74.477,-66.343,274.5,5.4,4.5,13,,,1.71,0.7261701392,0.32,0.135891488,950,49,5434,0,0,60,1.41
C100,74.492,-66.344,267.5,11.5,9.1,91,17.3,0.66,1.21,0.5138396892,0.81,0.3439753291,2620,69,14986.4,26400,1750,72,1.83
C101,74.505,-66.279,278.6,5.2,4.4,162,,,0.96,0.4076744641,0.66,0.2802761941,250,59,1430,0,0,38,1.02
C102,74.53,-66.318,271,11.5,4.4,27,,,1.31,0.5563057792,0.25,0.106165225,4520,28,25854.4,0,0,132,2.55
C103,74.553,-66.17,279.6,7.2,4.8,141,5,1.12,0.73,0.3100024571,0.57,0.2420567131,400,74,2288,2800,1750,40,0.83
C104,74.566,-66.295,270.3,7.7,6.8,77,10.7,1.1,1.54,0.6539777862,0.58,0.2463033221,2690,82,15386.8,26300,1800,72,1.74
C105,74.574,-66.187,275.8,12.2,6.6,49,13.9,0.52,0.71,0.3015092391,0.5,0.2123304501,1030,59,5891.6,7300,1150,85,0.84
C106,74.615,-66.271,273.6,8,6.2,51,10,0.95,1.85,0.7856226653,0.39,0.1656177511,1540,38,8808.8,35300,1480,82,1.06
C107,74.669,-66.258,283.8,6,4.3,155,,,0.98,0.4161676821,0.42,0.1783575781,780,17,4461.6,0,0,83,1.74
C108,74.671,-66.254,276.7,18.5,6,172,15.7,0.25,1.42,0.6030184782,0.17,0.07219235302,3190,14,18246.8,32900,380,291,1.48
C109,74.676,-66.362,272.3,5.6,5.3,72,5.4,1.38,1.43,0.6072650872,0.4,0.1698643601,590,35,3374.8,11500,1640,57,1.39
C110,74.685,-66.139,276.4,7,5.6,41,7.9,1.1,1.52,0.6454845682,0.26,0.110411834,4170,29,23852.4,19000,1190,119,2.94
C111,74.715,-66.163,278.5,10.6,3.4,136,,,1.75,0.7431565753,0.74,0.3142490661,3110,147,17789.2,0,0,50,1.54
C112,74.721,-66.122,274.6,13.3,30,,,0.77,1.12,0.4756202082,,0,3760,90,21507.2,0,0,24,3.07
C113,74.744,-66.223,280.7,9.7,7.5,159,13.6,0.4,0.84,0.3567151561,0.16,0.06794574402,2220,10,12698.4,10000,510,257,1.95
C114,74.762,-66.275,281.6,6.4,6.4,47,8.4,1.05,1.66,0.7049370942,0.4,0.1698643601,870,67,4976.4,24100,1470,56,1.31
C115,74.781,-66.295,278.6,23.6,4.8,129,9.6,0.36,1.22,0.5180862982,0.45,0.1910974051,2750,36,15730,14800,1000,57,1.84
C116,74.821,-66.312,282,15.9,4.6,102,2.9,1.37,1.3,0.5520591702,1.19,0.5053464712,2650,127,15158,5200,2690,13,2.01
C117,74.839,-66.363,279.8,6.6,3.6,160,,,0.73,0.3100024571,0.38,0.1613711421,220,28,1258.4,0,0,35,1.18
C118,74.86,-66.336,281.8,11.2,5.7,148,11.2,0.73,1.31,0.5563057792,0.47,0.1995906231,3910,44,22365.2,20200,1070,79,2.51
C119,74.915,-66.374,280.6,10,5.1,137,8.3,0.69,1.19,0.5053464712,0.57,0.2420567131,1020,42,5834.4,12300,1340,73,2.02
C120,74.992,-66.213,278.4,7.7,44,,,0.51,1.11,0.4713735992,,0,430,93,2459.6,0,0,34,1.23
C121,75.015,-66.268,275.3,6,2.1,18,,,1.2,0.5095930802,0.24,0.101918616,810,34,4633.2,0,0,77,1.47
C122,75.144,-66.298,271.1,10.2,4.2,134,,,0.73,0.3100024571,0.5,0.2123304501,690,37,3946.8,0,0,48,1.07
C123,75.186,-66.377,276.2,17.5,9.9,162,23.3,0.19,0.98,0.4161676821,0.1,0.04246609001,5760,6,32947.2,23500,300,577,2.36
C124,75.257,-66.35,277,4.9,5.2,73,3.8,1.17,0.56,0.2378101041,0.53,0.2250702771,500,50,2860,1200,1620,41,1.52
C125,75.748,-65.887,279.8,5.9,9.5,69,10.6,1.18,1.02,0.4331541181,1.03,0.4374007271,2220,98,12698.4,11500,2580,36,1.66
C126,75.779,-65.898,277.6,6.9,3.6,57,,,0.95,0.4034278551,0.85,0.3609617651,1310,107,7493.2,0,0,24,1.78
C127,75.795,-65.907,280.5,10.2,4.6,166,3,1.15,0.92,0.3906880281,0.7,0.2972626301,1190,109,6806.8,2700,1750,48,1.05
C128,75.843,-67.252,274.3,5.4,3.8,98,,,0.69,0.2930160211,0.56,0.2378101041,360,93,2059.2,0,0,31,1.1
C129,75.856,-66.722,281,11.9,4.7,101,5.4,0.93,0.89,0.3779482011,1.52,0.6454845682,2460,88,14071.2,4500,3330,24,2.06
C130,75.875,-67.174,271.3,6,2.1,0,,,0.66,0.2802761941,0.85,0.3609617651,550,102,3146,0,0,22,1.22
C131,75.877,-67.374,275.7,12.3,5.2,3,9.8,0.69,0.88,0.3737015921,0.66,0.2802761941,1400,64,8008,7800,1640,64,1.05
C132,75.889,-67.185,274.4,13.4,9.1,31,19,0.26,1.38,0.5860320422,0.22,0.09342539803,4950,17,28314,37800,540,332,2.15
C133,75.908,-67.354,270.2,13.4,5.4,2,11.5,0.58,1.35,0.5732922152,0.46,0.1953440141,810,65,4633.2,21700,1240,40,0.98
C134,75.919,-66.734,280.9,8,6.1,134,9.6,0.94,0.78,0.3312355021,0.64,0.2717829761,2130,63,12183.6,6100,1680,38,2.76
C135,75.944,-67.332,276.9,7.6,5.4,107,7.9,1.24,1.63,0.6921972672,0.42,0.1783575781,3330,48,19047.6,21900,1560,53,2.67
C136,75.97,-67.34,271,7.6,4.7,138,3.7,1.16,2.07,0.8790480633,0.28,0.118905052,3330,44,19047.6,16500,1410,104,2.74
C137,75.971,-67.314,276.4,9.9,5.4,130,9.4,0.55,1.49,0.6327447412,0.31,0.131644879,4690,35,26826.8,21500,860,127,3.56
C138,76.007,-67.36,275.7,10.9,7.3,36,14.3,0.6,0.43,0.1826041871,1.1,0.4671269902,610,80,3489.2,2800,2490,26,0.83
C139,76.109,-66.847,277.1,5.9,4.4,142,,,0.52,0.2208236681,0.79,0.3354821111,440,72,2516.8,0,0,36,0.97
C140,76.161,-70.903,228.7,8,5.8,93,9.1,0.52,2.62,1.112611558,0.28,0.118905052,3280,24,18761.6,64500,860,161,2.16
C141,76.193,-70.941,231.9,14.6,6,155,13.8,0.2,1.05,0.4458939452,0.15,0.06369913502,3630,9,20763.6,15700,390,253,2.76
C142,76.199,-66.823,281.3,11.1,7.6,27,14.9,0.38,2.14,0.9087743263,0.09,0.03821948101,6680,4,38209.6,71500,440,644,3.31
C143,76.214,-70.121,229.4,11,8,177,15.5,0.23,1.28,0.5435659522,0.13,0.05520591702,3600,12,20592,26500,340,318,2.31
C144,76.239,-71.002,234.1,12.5,7.5,174,15.9,0.34,1.17,0.4968532532,0.43,0.1826041871,2240,53,12812.8,22700,1060,128,1.36
C145,76.352,-66.925,282.9,12.5,5.4,136,11,0.67,0.9,0.3821948101,0.79,0.3354821111,1210,86,6921.2,9300,1470,24,2.06
C146,76.353,-66.898,280.3,14.3,8.8,18,19.2,0.34,1.35,0.5732922152,0.39,0.1656177511,4390,30,25110.8,36700,930,165,2.12
C147,76.389,-66.854,282.8,6.6,2,72,,,1.14,0.4841134262,0.43,0.1826041871,500,45,2860,0,0,53,1.05
C148,76.907,-69.001,254.5,9.9,8.2,144,14.8,0.4,2.27,0.9639802433,0.24,0.101918616,2190,43,12526.8,79000,630,115,1.22
C149,76.937,-68.979,249,8.1,5.4,70,8.2,1.21,0.75,0.3184956751,0.88,0.3737015921,1000,70,5720,4800,2210,27,1.23
C150,76.946,-68.953,251.4,9.7,7.1,144,13,0.65,1.98,0.8408285823,0.54,0.2293168861,4500,56,25740,52800,1480,103,1.31
C151,76.964,-69.012,264.4,8.1,5.9,155,9.4,0.44,2.05,0.8705548453,0.26,0.110411834,2690,19,15386.8,41300,640,190,1.47
C152,77.052,-69.042,243.1,7.6,6,79,9.2,0.49,2.38,1.010692942,0.21,0.08917878903,3040,21,17388.8,54400,680,221,1.53
C153,77.105,-69.345,226,6.1,3.3,3,,,1.27,0.5393193432,0.47,0.1995906231,960,44,5491.2,0,0,42,2.22
C154,77.136,-69.348,229.2,9.7,4.9,26,7.1,0.51,1.41,0.5987718692,0.42,0.1783575781,2980,46,17045.6,14500,980,93,1.98
C155,77.146,-69.374,226.9,8.2,5,166,6.6,1.03,0.64,0.2717829761,0.92,0.3906880281,620,139,3546.4,2800,2240,14,3.7
C156,77.166,-69.406,224.8,14.1,7.1,166,16.3,0.16,1.09,0.4628803812,0.11,0.04671269902,12960,6,74131.2,20000,270,435,5.4
C157,77.191,-69.072,248.2,7.9,1,51,,,1.09,0.4628803812,0.73,0.3100024571,840,42,4804.8,0,0,55,1.32
C158,77.234,-68.795,275.1,5.4,4.7,132,2.6,1.32,0.7,0.2972626301,0.53,0.2250702771,320,73,1830.4,1300,1730,38,0.94
C159,77.242,-68.733,244.7,8.8,6.1,52,10.4,0.36,1.74,0.7389099663,0.12,0.05095930802,3960,6,22651.2,32800,440,419,2.44
C160,77.29,-68.735,251.4,8.6,3.5,8,,,1.5,0.6369913502,0.32,0.135891488,980,33,5605.6,0,0,91,1.07
C161,77.343,-69.392,232.3,9.8,7.7,30,13.9,0.2,1.03,0.4374007271,0.11,0.04671269902,5620,7,32146.4,15200,320,364,4.75
C162,77.379,-69.396,225.7,4.8,2.5,63,,,1.03,0.4374007271,0.33,0.140138097,940,53,5376.8,0,0,62,1.87
C163,77.41,-69.172,239.8,8.1,6.7,96,10.9,0.26,1.21,0.5138396892,0.14,0.05945252602,2360,8,13499.2,16500,360,253,2.15
C164,77.449,-69.234,236.6,4.9,3.4,27,,,0.98,0.4161676821,0.68,0.2887694121,290,92,1658.8,0,0,19,1.19
C165,77.465,-68.886,240.9,7.8,6.2,175,9.6,0.5,2.45,1.040419205,0.19,0.08068557103,6280,18,35921.6,60200,650,322,2.89
C166,77.477,-69.227,239.1,8.5,6.2,89,10.3,0.71,0.44,0.1868507961,0.63,0.2675363671,1230,51,7035.6,2100,1440,70,1.12
C167,77.503,-69.22,242.1,12.6,4.4,110,,,0.73,0.3100024571,0.36,0.1528779241,1220,33,6978.4,0,0,91,1.26
C168,77.52,-69.433,227.3,15.8,7.9,102,18.7,0.16,1.26,0.5350727342,0.15,0.06369913502,4210,11,24081.2,30700,350,330,1.79
C169,77.529,-68.862,242.9,7.3,5.1,167,6.6,1.46,1.87,0.7941158833,0.92,0.3906880281,1770,178,10124.4,23900,2330,14,1.82
C170,77.538,-69.481,227,6.9,4.1,142,,,0.45,0.1910974051,0.48,0.2038372321,560,48,3203.2,0,0,45,1.48
C171,77.554,-68.929,244,7.7,5.5,170,8.2,0.46,1.13,0.4798668172,0.23,0.09767200703,1600,12,9152,10800,560,146,2.22
C172,77.562,-68.88,242.6,17.4,6.1,103,15.6,0.65,1.65,0.7006904852,0.73,0.3100024571,2480,116,14185.6,43900,1420,26,1.73
C173,77.632,-68.888,239.8,12.4,5.8,100,12.2,0.44,1.51,0.6412379592,0.3,0.12739827,3480,44,19905.6,29100,850,82,2.25
C174,77.644,-68.912,241.3,9.1,6,135,10.5,0.49,0.91,0.3864414191,0.44,0.1868507961,2570,44,14700.4,9200,940,83,2.53
