ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C347,81.068,-69.648,251.9,14.7,7.7,75,17.7,0.21,2.38,1.010692942,0.14,0.05945252602,9420,14,53882.4,104300,430,322,3.69
C348,81.084,-70.469,234,9.7,7.2,2,13,0.18,1.02,0.4331541181,0.15,0.06369913502,3600,7,20592,14000,390,303,3.02
C349,81.098,-69.687,263.1,8.8,7.3,76,12.4,0.21,2.73,1.159324257,0.12,0.05095930802,8690,7,49706.8,95600,340,458,3.8
C350,81.101,-68.436,259.8,13.4,9.7,110,19.8,0.18,2.11,0.8960344993,0.12,0.05095930802,19360,12,110739.2,91600,300,656,3.74
C351,81.115,-69.675,268.8,7.4,3.9,1,,,0.31,0.131644879,1.06,0.4501405542,170,78,972.4,0,0,17,1.19
C352,81.13,-71.544,225.8,13,7.3,147,15.8,0.13,1.71,0.7261701392,0.17,0.07219235302,4620,12,26426.4,48000,400,388,1.87
C353,81.157,-69.239,259.8,7.8,5.7,143,8.9,1.15,1.9,0.8068557103,0.66,0.2802761941,2060,97,11783.2,33200,2080,15,2.05
C354,81.168,-69.257,260.1,16.2,6,143,14.7,0.73,1.88,0.7983624923,0.72,0.3057558481,4600,89,26312,53900,1870,29,1.99
C355,81.215,-69.669,266.5,10,4.1,152,,,3.4,1.44384706,0.61,0.2590431491,5420,91,31002.4,0,0,34,2.18
C356,81.253,-68.486,257.1,9.3,5.1,13,7.7,0.25,1.21,0.5138396892,0.14,0.05945252602,4500,9,25740,11800,350,289,3.21
C357,81.255,-68.455,261.6,12.4,5.1,149,9.6,0.34,0.97,0.4119210731,0.34,0.144384706,1240,40,7092.8,9300,840,92,1.3
C358,81.28,-69.675,263,7.1,6.5,139,9.5,0.31,1.58,0.6709642222,0.19,0.08068557103,8180,17,46789.6,24500,460,246,4.79
C359,81.295,-66.244,291.4,8.2,0.6,86,,,2.84,1.206036956,0.44,0.1868507961,6110,82,34949.2,0,0,72,3.23
C360,81.313,-68.463,256.9,6.7,2.6,89,,,1.42,0.6030184782,0.44,0.1868507961,1030,42,5891.6,0,0,43,1.45
C361,81.313,-66.243,296.3,7.1,6.6,83,9.6,1.32,0.78,0.3312355021,1.46,0.6200049142,2970,148,16988.4,6100,3070,18,2.62
C362,81.34,-69.325,257.9,11.3,3,90,,,0.69,0.2930160211,0.5,0.2123304501,390,79,2230.8,0,0,34,1.48
C363,81.375,-66.278,285.5,6.7,5.9,23,8.1,0.97,1.73,0.7346633572,0.39,0.1656177511,2040,58,11668.8,25100,1230,71,2.08
C364,81.378,-69.701,207.2,18.7,6.1,11,16.3,0.36,0.65,0.2760295851,0.46,0.1953440141,970,41,5548.4,7100,1070,82,1.24
C365,81.38,-66.143,298,3.3,4.5,167,,,1.56,0.6624710042,0.25,0.106165225,1290,16,7378.8,0,0,132,1.37
C366,81.383,-66.27,291.8,8.9,8.1,71,13.6,0.78,1.08,0.4586337722,0.86,0.3652083741,3400,74,19448,16500,1820,31,1.94
C367,81.387,-66.285,289.5,6.1,3.5,63,,,1.49,0.6327447412,0.76,0.3227422841,1870,115,10696.4,0,0,25,1.73
C368,81.405,-69.826,249.9,9.5,5.5,43,9.4,0.27,0.79,0.3354821111,0.22,0.09342539803,2130,24,12183.6,6100,500,175,1.91
C369,81.414,-66.251,291.8,9.1,9.9,66,15.8,0.67,0.6,0.2547965401,1.09,0.4628803812,2830,80,16187.6,5800,2190,42,2.51
C370,81.415,-69.307,260.1,9.3,7,52,12.5,0.22,0.84,0.3567151561,0.25,0.106165225,2530,22,14471.6,9200,470,182,2.34
C371,81.425,-66.184,280.9,7.5,5.4,161,7.6,1.04,0.96,0.4076744641,0.7,0.2972626301,1080,156,6177.6,7300,1850,31,1.62
C372,81.43,-66.194,279.2,10.5,4.9,145,7.4,1.24,0.75,0.3184956751,0.91,0.3864414191,690,184,3946.8,4300,1920,11,1.69
C373,81.436,-66.176,294.7,6.1,6,88,7.5,0.86,1.19,0.5053464712,0.59,0.2505499311,1030,39,5891.6,10900,1600,70,1.14
C374,81.447,-66.229,286.6,10.1,6.2,150,11.6,0.44,2.15,0.9130209353,0.13,0.05520591702,6320,7,36150.4,55800,480,410,3.6
C375,81.488,-66.126,284.1,9.4,5.4,71,9.2,0.44,0.6,0.2547965401,0.38,0.1613711421,880,25,5033.6,3500,840,83,1.26
C376,81.508,-66.209,287.7,6,5.7,167,6.9,0.92,1.3,0.5520591702,0.19,0.08068557103,2890,10,16530.8,12200,1010,201,2.93
C377,81.522,-68.592,254.3,11.1,9.9,87,17.9,0.15,1.2,0.5095930802,0.15,0.06369913502,5290,10,30258.8,27000,350,396,2.57
C378,81.524,-66.157,285.3,9.5,7,150,12.7,0.34,1.55,0.6582243952,0.13,0.05520591702,3970,6,22708.4,31500,480,395,2.6
C379,81.541,-68.622,256.4,4.5,4.3,87,,,1.09,0.4628803812,0.44,0.1868507961,610,61,3489.2,0,0,48,1.77
C380,81.577,-66.034,286.1,16.9,7.4,176,18.5,0.17,2.16,0.9172675443,0.07,0.02972626301,20330,4,116287.6,89600,240,1043,4.56
C381,81.584,-66.041,292.2,5.7,3.7,4,,,0.74,0.3142490661,0.63,0.2675363671,750,79,4290,0,0,26,1.96
C382,81.6,-68.78,256.7,10.5,5.5,146,10.2,0.65,0.94,0.3991812461,0.81,0.3439753291,1160,123,6635.2,9400,1680,22,1.48
C383,81.604,-71.266,225.1,12.6,8.6,164,17.7,0.53,0.79,0.3354821111,0.72,0.3057558481,3200,44,18304,11500,1450,76,2.24
C384,81.604,-66.172,297.6,7.2,5.4,114,7.5,0.86,2.13,0.9045277173,0.14,0.05945252602,2350,11,13442,35300,940,275,2.07
C385,81.622,-68.806,256.4,9.6,7.9,30,14.1,0.5,1.26,0.5350727342,0.7,0.2972626301,3040,61,17388.8,23200,1490,58,1.77
C386,81.629,-71.223,223.2,10.2,6.4,0,12.1,0.27,1.05,0.4458939452,0.29,0.123151661,2120,22,12126.4,13800,590,158,2
C387,81.69,-71.336,227.2,15.5,15.4,169,28.2,0.45,1.52,0.6454845682,0.53,0.2250702771,19750,89,112970,67200,1210,55,3.57
C388,81.698,-71.305,226.1,12.3,6.2,56,13,1.42,1.61,0.6837040492,1.58,0.6709642222,15080,119,86257.6,35100,3690,34,2.78
C389,81.713,-71.371,224.4,12.7,4.3,145,,,1.36,0.5775388242,0.61,0.2590431491,8080,112,46217.6,0,0,25,3.77
C390,81.718,-68.891,239.7,7.7,6.6,130,10.3,0.25,1.11,0.4713735992,0.17,0.07219235302,2320,10,13270.4,13100,450,228,2.34
C391,81.755,-71.29,228.2,18.2,5.8,57,15,0.75,2.24,0.9512404163,0.74,0.3142490661,3730,255,21335.6,78500,1750,12,2.96
C392,81.763,-71.151,229.7,5.2,3.5,141,,,0.84,0.3567151561,0.53,0.2250702771,440,58,2516.8,0,0,40,1.37
C393,81.765,-71.398,224.5,20.9,7.9,174,21.8,0.35,1.31,0.5563057792,0.38,0.1613711421,14650,55,83798,39000,750,86,3.38
C394,81.812,-71.245,228.8,13.6,4.9,97,8.5,0.35,1.2,0.5095930802,0.29,0.123151661,1900,36,10868,12800,740,119,1.96
C395,81.824,-71.205,229.1,12.5,7.3,58,15.4,0.19,1.51,0.6412379592,0.23,0.09767200703,3400,18,19448,36700,560,226,1.79
C396,81.837,-70.562,236.3,8.1,5.1,97,7.2,0.33,1.34,0.5690456062,0.2,0.08493218003,1970,19,11268.4,13300,470,188,1.65
C397,81.862,-70.606,238.4,9.8,7.9,151,14.3,0.13,1.78,0.7558964023,0.1,0.04246609001,4180,6,23909.6,46900,270,456,2.09
C398,81.872,-71.692,228.3,5.6,5,168,4.7,1.29,0.66,0.2802761941,0.67,0.2845228031,390,122,2230.8,2100,1700,28,1.08
C399,81.873,-71.173,229.2,6.7,6,121,8.3,0.61,1.39,0.5902786512,0.47,0.1995906231,940,45,5376.8,16500,1300,71,1.14
C400,81.953,-71.325,227,11.1,7.9,19,15.3,0.19,0.95,0.4034278551,0.24,0.101918616,2480,23,14185.6,14600,520,224,1.47
C401,82.057,-69.883,249.8,12.6,8.7,26,17.8,0.11,1.26,0.5350727342,0.12,0.05095930802,8850,5,50622,29500,320,560,4.46
C402,82.059,-71.669,224.7,21.8,19.4,79,38.3,0.07,2.79,1.184803911,0.08,0.03397287201,15490,7,88602.8,309100,180,1369,1.63
C403,82.371,-71.048,224.1,9,7.4,128,12.8,0.14,1.01,0.4289075091,0.13,0.05520591702,3490,8,19962.8,13700,260,316,2.99
C404,82.395,-71.15,227.3,10.1,5.4,105,9.6,0.44,1.6,0.6794574402,0.3,0.12739827,1440,32,8236.8,25700,830,94,1.68
C405,82.455,-71.078,228.1,12.4,4.5,99,,,1.46,0.6200049142,0.19,0.08068557103,2610,13,14929.2,0,0,231,1.75
C406,82.584,-68.595,254.7,8.3,5.7,178,9.1,0.74,0.56,0.2378101041,0.93,0.3949346371,330,89,1887.6,3000,2260,25,0.99
C407,82.592,-71.135,227.4,10.6,6.8,21,13.2,0.23,1.15,0.4883600352,0.2,0.08493218003,5360,19,30659.2,18100,460,187,3.02
C408,82.707,-71.142,226.5,9.6,4.9,34,7.2,0.86,1.94,0.8238421463,0.92,0.3906880281,6450,105,36894,28200,2280,41,2.76
C409,82.716,-68.629,256.9,13.1,5.5,171,11.6,0.27,1.49,0.6327447412,0.23,0.09767200703,4110,22,23509.2,26800,550,160,2.49
C410,82.717,-68.561,257.1,10,5.5,160,9.9,0.26,1.5,0.6369913502,0.16,0.06794574402,6570,11,37580.4,23100,380,283,3.32
C411,82.735,-71.112,229.7,12.4,7.6,28,15.9,0.19,2.2,0.9342539803,0.2,0.08493218003,13920,26,79622.4,80300,460,340,3.28
C412,82.737,-68.593,256.4,8.6,8.5,63,13.7,0.81,1.82,0.7728828383,0.75,0.3184956751,2980,98,17045.6,47400,2030,58,1.9
C413,82.768,-71.146,230,8.9,2,100,,,0.71,0.3015092391,0.9,0.3821948101,350,91,2002,0,0,15,1.17
C414,82.787,-68.656,254.8,7.3,5,87,6.3,0.83,1.16,0.4926066442,0.58,0.2463033221,1210,69,6921.2,8900,1380,52,1.32
C415,82.825,-71.106,228.8,6.4,5.2,62,6.2,0.96,1.13,0.4798668172,0.65,0.2760295851,1350,105,7722,8200,1710,43,1.44
C416,82.842,-71.092,225.4,7.8,5.2,75,7.3,0.79,1.07,0.4543871632,0.64,0.2717829761,2170,80,12412.4,8800,1390,48,1.97
C417,82.852,-71.07,225.7,8.8,5.3,99,8.2,0.52,1.42,0.6030184782,0.4,0.1698643601,2300,51,13156,17300,970,73,2.07
C418,82.867,-71.127,227,11.9,8.9,98,17.5,0.32,1.05,0.4458939452,0.37,0.1571245331,4850,30,27742,20000,810,111,2.58
C419,82.871,-68.531,258.1,18.4,8.5,64,21.5,0.14,1.85,0.7856226653,0.16,0.06794574402,5910,10,33805.2,76400,400,461,2.59
C420,82.888,-67.753,285.9,12.2,6.5,147,13.7,0.49,1.59,0.6752108312,0.42,0.1783575781,5010,45,28657.2,36300,950,93,2.53
C421,82.889,-68.478,262.7,5.9,4.7,109,2.6,0.96,1.6,0.6794574402,0.46,0.1953440141,1890,47,10810.8,7000,1320,75,1.93
C422,82.913,-71.069,230.2,5.6,4.3,89,,,0.92,0.3906880281,0.31,0.131644879,810,30,4633.2,0,0,62,1.58
C423,82.925,-68.574,257.4,6.1,5.3,85,6.2,0.59,0.62,0.2632897581,0.28,0.118905052,660,36,3775.2,2500,870,78,1.37
C424,82.958,-67.732,284.5,11.5,4.1,46,,,1.49,0.6327447412,0.43,0.1826041871,4320,56,24710.4,0,0,53,2.29
C425,82.961,-68.469,264.9,9.9,6.2,50,11.5,0.48,1.47,0.6242515232,0.44,0.1868507961,3100,61,17732,26000,990,108,1.57
C426,82.992,-68.638,253.2,7.7,6.3,7,9.7,0.67,1.22,0.5180862982,0.44,0.1868507961,700,113,4004,15100,1070,51,1.1
C427,83.01,-68.47,260.5,14.1,9.6,72,20.3,0.23,2.53,1.074392077,0.17,0.07219235302,8030,23,45931.6,135500,460,259,2.35
C428,83.014,-67.713,285.7,14.8,3.2,65,,,2.41,1.023432769,0.48,0.2038372321,5510,62,31517.2,0,0,64,1.98
C429,83.027,-69.778,265.4,6.7,4.6,142,,,0.81,0.3439753291,0.27,0.114658443,770,38,4404.4,0,0,79,1.6
C430,83.036,-67.771,287.3,10.5,7.4,22,14.1,0.6,0.75,0.3184956751,0.47,0.1995906231,1000,51,5720,8300,1110,57,1.51
C431,83.046,-66.412,287.1,5.7,3.3,52,,,1.26,0.5350727342,0.4,0.1698643601,800,50,4576,0,0,81,1.13
C432,83.049,-71.231,224.7,11.9,7.9,56,16.1,0.11,1.75,0.7431565753,0.07,0.02972626301,15930,4,91119.6,51400,200,857,5.13
C433,83.051,-68.443,260.8,9.9,4.9,28,7,0.76,0.55,0.2335634951,0.85,0.3609617651,300,112,1716,2200,1860,16,1.15
C434,83.065,-68.409,254.4,23.9,4.6,109,,,0.59,0.2505499311,0.64,0.2717829761,1840,41,10524.8,0,0,140,1.61
C435,83.073,-68.634,252.2,8.9,6.3,91,10.9,0.55,1.21,0.5138396892,0.45,0.1910974051,1330,64,7607.6,16500,1020,54,1.28
C436,83.093,-68.673,253.7,13.6,6.2,7,13.9,0.17,2.05,0.8705548453,0.13,0.05520591702,4030,9,23051.6,60500,360,388,2.15
C437,83.105,-69.764,266.8,7.2,4.8,98,5.3,0.49,0.9,0.3821948101,0.18,0.07643896203,1620,8,9266.4,4500,730,162,2.75
C438,83.125,-66.453,289.2,9.7,7.1,82,12.9,0.25,1.58,0.6709642222,0.12,0.05095930802,4140,5,23680.8,33700,330,419,2.72
C439,83.128,-67.689,289.3,7.8,6.4,49,10.1,0.51,1.7,0.7219235302,0.22,0.09342539803,3620,24,20706.4,30500,670,152,2.45
C440,83.167,-71.228,224.5,10.1,5.2,58,8.7,0.85,0.92,0.3906880281,0.77,0.3269888931,1100,81,6292,7700,2100,27,1.7
C441,83.214,-67.682,287.7,10.4,7,134,13.4,0.54,1.95,0.8280887553,0.37,0.1571245331,3960,35,22651.2,53000,880,92,2.22
C442,83.215,-67.5,278.8,7.5,6.4,12,9.7,0.46,2.56,1.087131904,0.11,0.04671269902,5900,6,33748,66400,510,596,2.35
C443,83.219,-69.772,264.2,7.8,5.6,90,8.5,0.25,1.65,0.7006904852,0.19,0.08068557103,2860,7,16359.2,24000,450,310,2.69
C444,83.24,-68.967,252.1,18.9,9.2,116,23.1,0.15,2.07,0.8790480633,0.13,0.05520591702,7640,8,43700.8,103000,300,505,2.75
C445,83.241,-67.709,283.1,6.7,6.1,23,8.4,0.71,1.65,0.7006904852,0.31,0.131644879,1800,25,10296,23500,980,113,1.67
C446,83.629,-68.21,276.5,10.7,7.7,179,14.7,0.16,1.4,0.5945252602,0.13,0.05520591702,3820,6,21850.4,29800,330,400,2.4
C447,83.756,-67.519,286.8,10.5,5.5,96,10.1,0.49,1.2,0.5095930802,0.43,0.1826041871,1740,35,9952.8,15200,1020,95,1.15
C448,83.787,-69.075,256.5,8.4,6.4,136,10.6,0.2,1.77,0.7516497933,0.17,0.07219235302,3600,6,20592,34800,360,390,2.31
C449,83.805,-68.222,275.6,9.8,6.2,102,11.3,0.25,0.81,0.3439753291,0.24,0.101918616,1520,16,8694.4,7800,500,138,1.73
C450,83.808,-69.038,254.3,11.5,5.8,23,11.7,0.34,2.64,1.121104776,0.24,0.101918616,1270,24,7264.4,85200,640,131,1.2
C451,83.84,-67.588,282.3,13.9,8.7,28,18.8,0.17,2.92,1.240009828,0.14,0.05945252602,6630,10,37923.6,167000,350,484,1.81
C452,83.841,-67.628,282.1,6.8,5,18,5.9,0.58,1.36,0.5775388242,0.21,0.08917878903,1590,21,9094.8,11400,620,127,2.1
C453,83.85,-70.731,242.3,4.3,3.1,69,,,0.89,0.3779482011,0.43,0.1826041871,370,46,2116.4,0,0,44,1.13
C454,83.853,-69.069,251.8,8.9,5.3,84,8.3,0.62,2.22,0.9427471983,0.29,0.123151661,1050,58,6006,42800,920,114,0.77
C455,83.872,-70.759,268.3,12.4,4.4,6,,,2.29,0.9724734613,0.15,0.06369913502,3240,13,18532.8,0,0,310,1.7
C456,83.885,-68.743,249.6,6,3.8,53,,,1.67,0.7091837032,0.57,0.2420567131,910,58,5205.2,0,0,32,1.45
C457,83.891,-69.2,251.4,5.8,3.1,149,,,1.25,0.5308261252,0.49,0.2080838411,610,43,3489.2,0,0,34,1.56
C458,83.927,-70.709,239.7,13.8,6,21,13.3,0.11,1.17,0.4968532532,0.15,0.06369913502,3360,8,19219.2,19100,310,363,2.27
C459,83.949,-69.212,239.8,7.7,6.2,67,9.6,0.22,1.62,0.6879506582,0.17,0.07219235302,3400,10,19448,26400,400,262,2.61
C460,83.956,-70.781,221.5,8.3,6.1,10,10,0.3,1.1,0.4671269902,0.28,0.118905052,910,33,5205.2,12500,650,115,1.17
C461,83.956,-69.635,256.5,6.9,5.3,112,7,0.52,1.68,0.7134303122,0.22,0.09342539803,1630,22,9323.6,20600,610,152,1.32
C462,83.969,-69.04,259.1,11.7,11.2,80,20,0.09,2.5,1.06165225,0.07,0.02972626301,11140,4,63720.8,129800,190,1257,2.23
C463,83.974,-68.743,249.4,9.1,6.9,67,12.2,0.3,1.62,0.6879506582,0.23,0.09767200703,3850,19,22022,33400,580,200,2.08
C464,83.981,-67.58,282,6.6,6.1,77,8.3,0.67,1.46,0.6200049142,0.42,0.1783575781,680,51,3889.6,18300,1130,56,1.18
C465,83.996,-67.543,285.6,6.7,5.2,60,6.4,0.76,1.36,0.5775388242,0.39,0.1656177511,1170,33,6692.4,12200,1260,89,1.37
C466,84.005,-69.652,249.4,5.6,3.6,136,,,0.78,0.3312355021,0.34,0.144384706,580,49,3317.6,0,0,59,1.39
C467,84.027,-69.687,258.7,8.9,6.2,154,10.8,0.24,1.13,0.4798668172,0.17,0.07219235302,2180,20,12469.6,14300,440,189,1.69
C468,84.045,-69.018,265.5,10.9,3.8,101,,,2.56,1.087131904,0.23,0.09767200703,1670,24,9552.4,0,0,146,1.38
C469,84.051,-69.034,273.1,9.7,6.8,66,12.4,0.23,2.09,0.8875412813,0.2,0.08493218003,2930,20,16759.6,56100,460,273,1.4
C470,84.061,-70.733,237.6,11.1,7.1,154,14.1,0.12,2.29,0.9724734613,0.11,0.04671269902,5360,6,30659.2,77100,300,546,2.15
C471,84.232,-69.848,257.5,8.4,3.7,160,,,1.23,0.5223329072,0.32,0.135891488,840,41,4804.8,0,0,98,1.03
C472,84.274,-69.8,251.5,8.7,6.1,13,10.2,0.25,1.76,0.7474031843,0.21,0.08917878903,5350,26,30602,33000,450,210,2.75
C473,84.294,-69.74,253.2,10.3,4.6,126,,,1.72,0.7304167482,0.3,0.12739827,2200,28,12584,0,0,122,1.74
C474,84.294,-66.319,288.7,17.8,8.3,146,20.8,0.15,2.08,0.8832946723,0.14,0.05945252602,7650,10,43758,93700,320,639,1.78
C475,84.317,-66.321,283.6,6.1,3.8,145,,,0.94,0.3991812461,0.43,0.1826041871,720,38,4118.4,0,0,59,1.47
C476,84.321,-69.779,254.7,11.6,4,48,,,2.74,1.163570866,0.69,0.2930160211,3470,105,19848.4,0,0,31,2.22
C477,84.354,-69.741,234.7,25.2,7.4,70,22.8,0.23,1.72,0.7304167482,0.29,0.123151661,6600,23,37752,70100,600,293,1.36
C478,84.366,-69.147,247.1,8.1,4.2,160,,,1.43,0.6072650872,0.26,0.110411834,1750,21,10010,0,0,136,1.97
C479,84.397,-69.781,238.4,9.9,9.3,69,16.1,0.11,2,0.8493218003,0.13,0.05520591702,5060,8,28943.2,67100,310,531,1.87
C480,84.457,-69.751,236.7,5.9,3.7,77,,,3.15,1.337681835,0.37,0.1571245331,770,77,4404.4,0,0,55,0.99
C481,84.486,-69.58,262.7,7.4,4.7,128,4.5,1.13,1.6,0.6794574402,0.66,0.2802761941,2110,123,12069.2,11900,1900,42,1.66
C482,84.491,-69.583,258.6,4.7,4.4,23,,,0.76,0.3227422841,0.64,0.2717829761,270,90,1544.4,0,0,19,1.12
C483,84.493,-69.155,247.2,4.8,4.4,138,,,0.84,0.3567151561,0.36,0.1528779241,480,36,2745.6,0,0,55,1.14
C484,84.51,-69.713,233.7,17.9,5.8,94,14.9,0.26,1.28,0.5435659522,0.33,0.140138097,2640,19,15100.8,25400,630,161,1.48
C485,84.518,-70.099,249.1,6,6.3,1,7.8,0.58,2.19,0.9300073713,0.26,0.110411834,1450,26,8294,38800,750,131,1.7
C486,84.538,-69.529,251.7,6.9,4.3,39,,,0.65,0.2760295851,0.36,0.1528779241,680,26,3889.6,0,0,56,1.66
C487,84.546,-71.264,218,7.9,5.6,142,8.6,0.59,0.87,0.3694549831,0.57,0.2420567131,480,97,2745.6,6800,1290,42,1.06
C488,84.564,-71.322,224.9,8.1,4.7,78,5,0.58,0.79,0.3354821111,0.51,0.2165770591,1120,53,6406.4,3200,1130,93,1.05
C489,84.573,-69.51,253.8,4.5,4.3,59,,,0.96,0.4076744641,0.31,0.131644879,670,27,3832.4,0,0,57,1.57
C490,84.574,-69.578,261.7,10.6,6.1,106,11.7,0.41,2.58,1.095625122,0.41,0.1741109691,4350,58,24882,80500,900,106,1.93
C491,84.577,-71.269,215.5,10,3.2,131,,,0.65,0.2760295851,0.52,0.2208236681,610,57,3489.2,0,0,44,1.21
C492,84.588,-70.046,240,12.2,5.9,174,12.3,0.38,1.61,0.6837040492,0.4,0.1698643601,2740,45,15672.8,33000,920,100,1.5
C493,84.604,-70.11,239.1,27.1,7.2,175,23.3,0.31,3.53,1.499052978,0.32,0.135891488,14460,34,82711.2,302400,830,207,2.48
C494,84.617,-71.3,219.6,9.8,7.6,176,13.8,0.28,0.83,0.3524685471,0.38,0.1613711421,1680,41,9609.6,9900,780,136,1.12
C495,84.638,-70.188,247.1,10.8,9.2,142,16.8,0.25,1.84,0.7813760563,0.23,0.09767200703,2790,32,15958.8,59000,570,232,1.37
C496,84.64,-69.277,250.5,8.7,4.7,9,5.1,0.35,1.48,0.6284981322,0.27,0.114658443,1700,24,9724,11600,740,133,1.47
C497,84.643,-69.104,247.7,7.5,4.2,36,,,3.22,1.367408098,0.65,0.2760295851,2230,93,12755.6,0,0,40,1.13
C498,84.645,-70.302,221.1,6.1,5.5,61,6.5,1.06,0.81,0.3439753291,0.88,0.3737015921,940,87,5376.8,4400,2200,31,1.63
C499,84.659,-69.125,246.2,8,4.8,173,5.5,0.89,1.2,0.5095930802,0.51,0.2165770591,870,114,4976.4,8200,1180,33,1.05
C500,84.661,-69.421,249.8,14.6,6.3,32,14.6,0.26,1.11,0.4713735992,0.31,0.131644879,1810,20,10353.2,18600,660,176,1.69
C501,84.668,-70.165,233.7,11.5,5.3,17,10,0.78,1.74,0.7389099663,0.47,0.1995906231,5760,72,32947.2,31500,1220,75,2.33
C502,84.669,-70.292,218.6,9.2,8,139,13.8,0.25,0.83,0.3524685471,0.25,0.106165225,2590,48,14814.8,10000,490,170,2.07
C503,84.672,-71.285,215.8,9.9,3.5,56,,,1.24,0.5265795162,0.45,0.1910974051,750,59,4290,0,0,48,1.05
C504,84.675,-70.149,237.2,11.1,7.9,117,15.4,0.97,1.62,0.6879506582,1.88,0.7983624923,1910,136,10925.2,42400,3840,12,2.21
C505,84.676,-70.144,246.1,10.7,6.8,29,13.2,0.59,0.43,0.1826041871,0.78,0.3312355021,750,75,4290,2600,1770,34,1.79
C506,84.676,-70.113,244.8,10.7,4.2,45,,,0.75,0.3184956751,0.61,0.2590431491,1190,58,6806.8,0,0,73,1.07
C507,84.681,-69.239,250.1,7.4,4.2,86,,,1.09,0.4628803812,0.38,0.1613711421,760,34,4347.2,0,0,68,1.49
C508,84.687,-69.059,250.1,20.3,12.3,144,28.7,0.05,4.63,1.966179968,0.07,0.02972626301,17000,3,97240,640500,140,2057,2.1
C509,84.706,-70.153,244.2,11.1,7.7,126,15.1,0.62,1.25,0.5308261252,0.36,0.1528779241,3160,67,18075.2,24600,1040,144,1.39
C510,84.722,-69.575,248.2,13.4,6,113,13.4,0.73,2.48,1.053159032,0.75,0.3184956751,5910,87,33805.2,85600,1810,65,1.88
C511,84.729,-69.927,241.6,12.1,2.4,105,,,1.51,0.6412379592,0.52,0.2208236681,1270,71,7264.4,0,0,84,1.08
C512,84.735,-70.23,224.9,8.9,6,126,10.4,0.16,1.43,0.6072650872,0.12,0.05095930802,5410,6,30945.2,22100,290,394,4.1
C513,84.738,-69.581,252.2,10.7,4.9,145,7.3,0.81,3.44,1.460833496,0.73,0.3100024571,3860,63,22079.2,89400,1520,29,2.11
C514,84.759,-69.757,218.5,7.4,5.5,131,8,0.76,1.22,0.5180862982,0.61,0.2590431491,1010,65,5777.2,12400,1460,46,1
C515,84.769,-69.505,256.1,13.4,9.2,52,19.2,0.19,1.96,0.8323353643,0.18,0.07643896203,6100,22,34892,76400,430,298,2.12
C516,84.778,-69.963,232,4,3.3,78,,,1.76,0.7474031843,0.52,0.2208236681,1350,75,7722,0,0,100,1.2
C517,84.798,-70.182,245.8,7.7,4.4,152,,,1.56,0.6624710042,0.59,0.2505499311,550,62,3146,0,0,42,1.25
C518,84.8,-69.721,241.8,9.7,5.5,140,9.5,0.7,2.28,0.9682268523,0.48,0.2038372321,2500,65,14300,51600,1100,64,1.41
C519,84.81,-69.512,251.3,7.2,5.3,60,7.3,1.37,1.3,0.5520591702,0.76,0.3227422841,850,124,4862,12800,2270,13,1.27
C520,84.812,-69.128,265.9,8.7,3.6,9,,,0.88,0.3737015921,0.38,0.1613711421,440,65,2516.8,0,0,62,0.99
