ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C521,84.819,-70.347,218.9,8.8,7.3,118,12.5,0.2,2.67,1.133844603,0.17,0.07219235302,3460,14,19791.2,93100,340,318,1.27
C522,84.823,-69.019,255.9,7.6,8.2,46,12.2,0.46,0.82,0.3482219381,0.9,0.3821948101,990,46,5662.8,8500,1880,96,0.75
C523,84.829,-69.92,232.8,11.9,9,133,17.5,0.26,2,0.8493218003,0.19,0.08068557103,6490,24,37122.8,73300,460,290,1.59
C524,84.846,-70.066,240.1,16.3,6.8,20,16.8,0.32,1.82,0.7728828383,0.42,0.1783575781,6310,40,36093.2,58000,900,229,1.07
C525,84.848,-69.665,241.2,8.3,7.3,48,11.9,0.6,2.5,1.06165225,0.33,0.140138097,5660,38,32375.2,77600,890,141,2.13
C526,84.848,-69.944,225,4.5,3.9,41,,,0.85,0.3609617651,0.61,0.2590431491,670,87,3832.4,0,0,51,0.99
C527,84.85,-69.54,254.8,6.8,5.8,163,8,0.45,1.65,0.7006904852,0.23,0.09767200703,2150,29,12298,22500,650,138,1.79
C528,84.859,-69.721,238.1,5.8,6.6,119,7.7,1.34,0.7,0.2972626301,1.04,0.4416473361,380,79,2173.6,3900,2310,19,2.14
C529,84.862,-69.601,241.2,7,7.2,79,10.3,0.44,1.17,0.4968532532,0.36,0.1528779241,1150,41,6578,14600,880,91,1
C530,84.867,-71.538,206.4,11.2,3.2,45,,,1.34,0.5690456062,0.29,0.123151661,590,65,3374.8,0,0,79,1.11
C531,84.88,-69.766,235.9,10.6,12.1,33,19.8,0.14,2.34,0.9937065063,0.15,0.06369913502,47720,12,272958.4,112800,360,847,5.3
C532,84.898,-69.816,231.4,8.1,5.7,69,9,1.25,1.08,0.4586337722,0.77,0.3269888931,740,80,4232.8,10900,2380,33,0.98
C533,84.899,-70.134,232.2,28.9,15.8,16,39.7,0.06,5.85,2.484266266,0.04,0.01698643601,75320,4,430830.4,1412700,120,3472,4.11
C534,84.908,-69.994,241.4,11,6.8,41,13.5,0.75,0.8,0.3397287201,0.75,0.3184956751,760,103,4347.2,8900,1870,37,1.14
C535,84.909,-69.556,219.9,6.4,3.6,76,,,0.55,0.2335634951,0.95,0.4034278551,570,41,3260.4,0,0,49,1.16
C536,84.913,-69.301,267.4,11.8,7.5,128,15.3,0.22,2.45,1.040419205,0.17,0.07219235302,3160,16,18075.2,95600,420,280,1.81
C537,84.915,-71.529,213.2,9.2,3.4,118,,,1.26,0.5350727342,0.49,0.2080838411,300,49,1716,0,0,31,0.77
C538,84.917,-69.646,237.2,8.7,6.2,51,10.7,0.62,2.12,0.9002811083,0.39,0.1656177511,6470,51,37008.4,50000,950,88,2.35
C539,84.925,-70.059,233.3,20.2,6.3,43,17.6,0.54,0.61,0.2590431491,1.19,0.5053464712,2630,129,15043.6,6800,2280,28,1.51
C540,84.925,-70.455,226.3,8.6,6.3,150,10.7,0.39,2.84,1.206036956,0.21,0.08917878903,2180,26,12469.6,89700,710,165,1.33
C541,84.926,-69.98,237.4,11.9,7.5,41,15.5,0.16,1.42,0.6030184782,0.15,0.06369913502,4300,19,24596,32500,300,404,2.21
C542,84.93,-69.485,224.1,7.6,4.9,63,5.7,0.78,1.05,0.4458939452,0.42,0.1783575781,860,34,4919.2,6500,1070,73,1.31
C543,84.932,-69.796,239.4,10.7,7.6,174,14.6,0.52,1.62,0.6879506582,0.58,0.2463033221,7460,66,42671.2,39800,1260,90,2.22
C544,84.942,-70.321,244.2,9,7.5,148,12.9,0.3,1.51,0.6412379592,0.22,0.09342539803,2100,26,12012,30500,580,180,1.31
C545,84.945,-71.157,229.7,16.3,13.2,35,26.6,0.06,3.76,1.596724985,0.06,0.02547965401,31770,2,181724.4,391400,160,2090,4.81
C546,84.952,-69.216,244,10,4.1,66,,,0.69,0.2930160211,0.36,0.1528779241,740,49,4232.8,0,0,75,1.61
C547,84.963,-70.048,230.6,8.7,4.8,115,6,0.65,1.8,0.7643896203,0.46,0.1953440141,3910,54,22365.2,20400,1080,98,1.76
C548,84.965,-69.622,229.7,14.6,9.9,111,21,0.15,2.41,1.023432769,0.21,0.08917878903,8930,16,51079.6,127400,520,498,1.69
C549,84.969,-70.235,214.6,4.6,4.4,102,,,1.63,0.6921972672,0.56,0.2378101041,780,45,4461.6,0,0,38,1.22
C550,84.969,-69.427,239.7,4.3,4,4,,,0.63,0.2675363671,1.1,0.4671269902,630,87,3603.6,0,0,41,1.02
C551,84.971,-70.458,231.6,8.5,3.9,86,,,1.12,0.4756202082,0.49,0.2080838411,650,79,3718,0,0,46,0.99
C552,84.976,-69.584,227.4,10.3,7,178,13.2,0.43,1.64,0.6964438762,0.35,0.1486313151,1960,30,11211.2,37100,910,89,1.75
C553,84.977,-70.184,232.3,9.5,3.2,10,,,1.5,0.6369913502,0.32,0.135891488,1010,36,5777.2,0,0,51,1.14
C554,84.997,-70.266,245.8,5.9,3.8,162,,,2.13,0.9045277173,0.35,0.1486313151,800,50,4576,0,0,78,1
C555,85.001,-69.938,231.7,6.5,3.3,40,,,0.95,0.4034278551,0.69,0.2930160211,450,64,2574,0,0,41,1.27
C556,85.003,-69.993,231.5,11.9,3.5,9,,,1.22,0.5180862982,0.47,0.1995906231,1480,29,8465.6,0,0,81,1.3
C557,85.004,-71.105,260.8,10.5,5.7,146,10.8,0.39,1.42,0.6030184782,0.28,0.118905052,1770,23,10124.4,22500,700,169,1.31
C558,85.004,-69.311,265.2,6.1,4.8,135,4.5,0.66,0.86,0.3652083741,0.28,0.118905052,1000,17,5720,3500,860,102,1.77
C559,85.013,-70.247,248.8,8.4,4.9,59,6.2,0.34,1.14,0.4841134262,0.26,0.110411834,1060,39,6063.2,8500,590,120,1.34
C560,85.014,-69.636,225.1,5.2,5.5,77,5.1,1.16,0.77,0.3269888931,0.65,0.2760295851,450,101,2574,3100,1690,38,0.94
C561,85.018,-71.205,230.1,14.6,7.5,60,17.3,0.32,2.04,0.8663082363,0.49,0.2080838411,4990,32,28542.8,74600,1090,166,1.44
C562,85.019,-71.467,215.5,9.2,4.2,31,,,2.32,0.9852132883,0.43,0.1826041871,820,70,4690.4,0,0,67,0.99
C563,85.025,-71.554,210.6,11.5,6.6,7,13.4,0.18,2.21,0.9385005893,0.2,0.08493218003,4260,19,24367.2,68000,500,288,1.92
C564,85.027,-71.546,216.7,7.5,6.6,54,10.2,0.78,1.13,0.4798668172,1.1,0.4671269902,1590,80,9094.8,13400,2490,55,1
C565,85.027,-70.828,230.7,5.7,4.6,175,,,0.88,0.3737015921,0.35,0.1486313151,550,52,3146,0,0,72,1.58
C566,85.029,-69.906,231.6,7.2,3.5,135,,,0.88,0.3737015921,0.47,0.1995906231,860,86,4919.2,0,0,48,0.96
C567,85.031,-69.958,226.2,8.1,6.1,134,9.9,0.4,1.6,0.6794574402,0.35,0.1486313151,1630,41,9323.6,26200,880,161,1.4
C568,85.042,-69.747,234.8,13.6,6.2,80,14,0.19,2.37,1.006446333,0.17,0.07219235302,19240,25,110052.8,81500,410,388,3.98
C569,85.042,-69.231,262.2,12.8,5.3,121,10.6,0.4,2.16,0.9172675443,0.48,0.2038372321,1230,44,7035.6,51400,1000,76,0.93
C570,85.046,-69.682,236,6.1,4.5,9,,,1.38,0.5860320422,0.21,0.08917878903,1150,35,6578,0,0,98,1.48
C571,85.057,-70.574,237.2,6.8,3.6,170,,,1.99,0.8450751913,0.53,0.2250702771,770,38,4404.4,0,0,66,0.9
C572,85.067,-70.69,227.8,9.1,4.4,91,,,1.89,0.8026091013,0.29,0.123151661,2680,48,15329.6,0,0,207,1.97
C573,85.071,-69.296,282.2,4.7,5.7,163,3.6,1.4,1.4,0.5945252602,0.36,0.1528779241,1900,41,10868,7400,1660,130,1.09
C574,85.072,-71.19,212.8,6.5,5.7,47,7.5,0.85,1.48,0.6284981322,0.51,0.2165770591,2470,40,14128.4,17100,1500,94,1.47
C575,85.095,-71.22,216.9,12.3,6.3,174,13.3,0.18,1.28,0.5435659522,0.21,0.08917878903,3870,12,22136.4,22400,480,247,2.08
C576,85.095,-69.05,266.6,10.9,7.1,30,14,0.28,1.01,0.4289075091,0.36,0.1528779241,1400,26,8008,14800,660,130,1.29
C577,85.105,-69.672,233,7.3,3.7,74,,,1.2,0.5095930802,0.74,0.3142490661,950,52,5434,0,0,66,1.07
C578,85.111,-69.086,276.3,11.7,7.7,120,15.6,0.31,0.78,0.3312355021,0.27,0.114658443,1600,37,9152,10000,590,150,1.16
C579,85.112,-70.525,237.3,8.4,4.4,101,,,0.84,0.3567151561,0.75,0.3184956751,590,73,3374.8,0,0,17,1.19
C580,85.113,-69.988,236.3,13.6,5.8,106,12.7,0.46,1.05,0.4458939452,0.42,0.1783575781,1980,29,11325.6,14400,860,144,1.39
C581,85.115,-69.926,237.9,6.6,4,155,,,1.06,0.4501405542,0.62,0.2632897581,1030,74,5891.6,0,0,77,1.16
C582,85.135,-69.011,278.5,8.9,5.8,11,9.9,0.24,1.65,0.7006904852,0.14,0.05945252602,3330,8,19047.6,28200,360,313,2.41
C583,85.142,-69.103,272.6,6.7,5.9,151,8,0.6,1.41,0.5987718692,0.47,0.1995906231,910,54,5205.2,16600,1090,80,1.01
C584,85.148,-70.622,232.4,12.6,9.5,106,18.9,0.2,1.94,0.8238421463,0.2,0.08493218003,5660,19,32375.2,74300,490,486,1.66
C585,85.165,-70.53,244.5,6.5,5.8,142,7.7,0.48,2.09,0.8875412813,0.23,0.09767200703,2990,27,17102.8,34900,690,165,2.24
C586,85.17,-70.551,228.7,11.8,7.3,57,14.9,0.27,1.84,0.7813760563,0.24,0.101918616,3340,25,19104.8,52600,620,161,1.47
C587,85.184,-70.465,229.2,14.4,7.9,172,17.9,0.46,1.2,0.5095930802,0.51,0.2165770591,11580,59,66237.6,26600,1080,93,3.67
C588,85.19,-70.587,230.3,9.5,5.8,57,10.3,0.25,1.47,0.6242515232,0.23,0.09767200703,1640,26,9380.8,23200,560,167,1.48
C589,85.191,-70.041,233.5,5.2,3.7,90,,,1.09,0.4628803812,0.54,0.2293168861,390,62,2230.8,0,0,48,0.94
C590,85.199,-70.272,227.7,14.2,7.5,36,17,0.39,2.07,0.8790480633,0.3,0.12739827,6540,37,37408.8,75500,810,165,1.69
C591,85.199,-70.425,230.2,14.4,5.9,19,13.5,0.44,1.61,0.6837040492,0.38,0.1613711421,9760,63,55827.2,36400,870,94,3.3
C592,85.21,-70.549,235.2,10.5,5.9,134,11.2,0.24,2.89,1.227270001,0.18,0.07643896203,6460,20,36951.2,97400,490,346,1.9
C593,85.211,-70.664,213.7,8.1,5.7,14,9.1,0.4,0.47,0.1995906231,0.56,0.2378101041,570,35,3260.4,2100,1230,52,1.17
C594,85.23,-70.733,237.6,11.1,8.4,7,16.1,0.09,2.27,0.9639802433,0.07,0.02972626301,10090,4,57714.8,86300,190,832,3.58
C595,85.231,-69.753,232.1,14.3,5.2,160,11,0.14,2.09,0.8875412813,0.17,0.07219235302,3900,8,22308,50000,410,352,1.97
C596,85.244,-70.973,217.6,10,5.4,47,9.4,0.22,0.89,0.3779482011,0.22,0.09342539803,1240,18,7092.8,7700,530,149,1.55
C597,85.249,-70.386,230.2,15.8,9.6,180,21.6,0.18,1.76,0.7474031843,0.2,0.08493218003,24390,33,139510.8,69300,420,362,4.4
C598,85.251,-70.345,230,23,17.5,122,37.3,0.43,1.66,0.7049370942,1.22,0.5180862982,17800,92,101816,107300,2370,47,2.71
C599,85.276,-70.83,230.7,22.5,4.6,4,,,2.26,0.9597336343,0.4,0.1698643601,2180,41,12469.6,0,0,107,0.74
C600,85.277,-70.068,228.1,11.4,5,124,8.4,0.28,1.99,0.8450751913,0.14,0.05945252602,2830,9,16187.6,34500,400,300,2.05
C601,85.277,-70.871,236.3,10.5,6.7,5,12.8,0.69,1.75,0.7431565753,0.74,0.3142490661,3130,65,17903.6,40700,1610,66,1.26
C602,85.278,-70.781,230.3,15.6,5.1,124,11,0.39,1.28,0.5435659522,0.37,0.1571245331,1580,24,9037.6,18600,840,107,1.21
C603,85.286,-70.901,234,7.1,4.6,139,2.4,0.91,3.05,1.295215745,0.37,0.1571245331,2820,40,16130.4,23100,1080,67,1.61
C604,85.287,-70.644,214.6,5.9,3.4,177,,,1.17,0.4968532532,0.39,0.1656177511,550,39,3146,0,0,51,1.04
C605,85.29,-70.31,223.5,5.8,4.7,30,3.4,1.2,2.49,1.057405641,0.47,0.1995906231,1890,59,10810.8,21600,1460,48,1.51
C606,85.321,-70.926,234.1,6.8,4,144,,,3.1,1.31644879,0.53,0.2250702771,2040,110,11668.8,0,0,44,1.71
C607,85.326,-71.283,218.1,9.8,3.6,147,,,1.82,0.7728828383,0.88,0.3737015921,1300,162,7436,0,0,12,2.37
C608,85.341,-71.254,219.2,3.4,4.1,150,,,0.78,0.3312355021,0.66,0.2802761941,690,71,3946.8,0,0,40,1.24
C609,85.354,-71.296,219.6,6.2,8.6,168,10.5,1.17,0.57,0.2420567131,1.79,0.7601430113,6670,118,38152.4,3500,3510,22,2.44
C610,85.374,-70.701,230.8,16.2,7.3,141,17.9,0.23,3.39,1.439600451,0.23,0.09767200703,4450,22,25454,213800,630,313,1.27
C611,85.4,-71.317,221.1,6.2,4.8,139,4.4,1.26,1.79,0.7601430113,0.59,0.2505499311,1580,90,9037.6,14800,1830,35,1.74
C612,85.419,-71.401,215.8,9.3,5.6,91,9.7,0.47,1.19,0.5053464712,0.33,0.140138097,1150,24,6578,14300,860,81,1.64
C613,85.421,-70.726,224.1,8.4,5.8,161,9.4,0.39,1.75,0.7431565753,0.31,0.131644879,2160,54,12355.2,30200,810,157,1.05
C614,85.424,-68.976,252.3,12.4,8,26,16.6,0.14,1.39,0.5902786512,0.13,0.05520591702,3450,12,19734,33600,270,379,1.56
C615,85.431,-70.465,232.6,10.9,8.4,153,15.8,0.16,2.07,0.8790480633,0.14,0.05945252602,4250,13,24310,70500,360,425,1.54
C616,85.441,-70.887,221.5,5.9,3.4,123,,,0.68,0.2887694121,0.47,0.1995906231,370,54,2116.4,0,0,41,0.75
C617,85.474,-70.811,218.4,15.7,8.4,140,19.6,0.12,2.49,1.057405641,0.13,0.05520591702,5660,13,32375.2,126300,280,553,1.46
C618,85.478,-70.109,244.5,6.1,5.5,74,6.5,0.71,1.53,0.6497311772,0.4,0.1698643601,1030,33,5891.6,15900,1010,77,1.25
C619,85.484,-70.744,227,5.4,4.3,90,,,0.72,0.3057558481,0.51,0.2165770591,260,117,1487.2,0,0,30,0.75
C620,85.496,-70.903,222.1,6.1,8,20,9.8,0.62,2.39,1.014939551,0.3,0.12739827,1690,32,9666.8,57900,940,157,0.91
C621,85.507,-70.493,230.3,12.5,4.9,39,8.3,0.46,1.05,0.4458939452,0.47,0.1995906231,690,84,3946.8,9600,1070,87,1.15
C622,85.508,-71.333,211.5,5.7,5.1,24,5,1.03,1.18,0.5010998622,0.53,0.2250702771,560,65,3203.2,7300,1620,41,1.04
C623,85.513,-70.585,220.5,3.8,3.2,143,,,1.6,0.6794574402,1.28,0.5435659522,730,52,4175.6,0,0,46,1.09
C624,85.572,-70.795,225.2,5.7,4.7,23,3.3,1.12,0.7,0.2972626301,0.58,0.2463033221,700,58,4004,1700,1760,37,2.04
C625,85.584,-71.372,218.6,14.4,6.6,40,15.4,0.16,1.75,0.7431565753,0.22,0.09342539803,3870,18,22136.4,49200,460,268,1.95
C626,85.604,-71.311,216.3,13.7,8.1,27,17.7,0.13,1.65,0.7006904852,0.14,0.05945252602,5100,11,29172,50500,340,409,2.07
C627,85.633,-71.348,215.6,8.8,3.5,33,,,0.85,0.3609617651,0.72,0.3057558481,610,83,3489.2,0,0,19,1.06
C628,85.656,-71.299,210.6,7.7,3.1,133,,,1.14,0.4841134262,0.59,0.2505499311,470,98,2688.4,0,0,15,1.14
C629,85.709,-69.728,227.7,12.3,6,3,12.5,0.26,1.66,0.7049370942,0.23,0.09767200703,3050,16,17446,36000,590,175,2.39
C630,85.757,-69.269,239.9,9.5,5.2,41,8.3,0.69,1.12,0.4756202082,0.62,0.2632897581,1180,122,6749.6,10900,1360,31,2.22
C631,85.758,-69.733,225.2,4.7,4.2,7,,,1.19,0.5053464712,0.78,0.3312355021,740,61,4232.8,0,0,46,1.54
C632,85.76,-69.753,241.4,9.4,4.8,117,5.7,0.27,1.93,0.8195955373,0.23,0.09767200703,2440,12,13956.8,22200,520,201,2.34
C633,85.778,-69.272,242.5,4.6,2.7,104,,,0.81,0.3439753291,1.31,0.5563057792,420,170,2402.4,0,0,13,1.72
C634,85.799,-69.339,247.7,6.7,5.6,89,7.6,0.38,1.15,0.4883600352,0.23,0.09767200703,1360,14,7779.2,10500,610,144,1.6
C635,85.874,-69.431,249.1,16.9,8.4,152,20.4,0.08,1.93,0.8195955373,0.09,0.03821948101,10410,4,59545.2,78800,190,850,3.13
C636,85.905,-71.17,214,7.3,4.7,5,4.7,0.61,0.77,0.3269888931,0.43,0.1826041871,550,47,3146,2800,1060,44,1.05
C637,85.905,-69.497,250.2,8.8,5,179,7.2,0.47,0.55,0.2335634951,0.3,0.12739827,830,56,4747.6,2200,740,75,1.31
C638,85.974,-71.132,222.2,10,7.7,136,14.2,0.25,1.78,0.7558964023,0.27,0.114658443,6680,35,38209.6,46700,610,176,2.66
C639,85.978,-71.124,218.8,13,4.8,85,7.5,0.85,0.3,0.12739827,1.41,0.5987718692,1640,152,9380.8,700,2900,24,1.65
C640,85.986,-69.267,243.7,10.7,10.3,174,17.9,0.15,1.34,0.5690456062,0.13,0.05520591702,3710,9,21221.2,33400,280,387,2.04
C641,86.004,-69.352,234,10.4,9.1,15,16.4,0.79,0.75,0.3184956751,0.95,0.4034278551,2250,222,12870,9700,1980,25,1.93
C642,86.005,-69.377,234.3,14.1,6.1,170,14,0.41,2.63,1.116858167,0.28,0.118905052,17070,49,97640.4,100800,670,159,2.91
C643,86.05,-69.312,251.3,9.5,4.1,19,,,1.28,0.5435659522,0.24,0.101918616,1120,24,6406.4,0,0,109,1.75
C644,86.091,-71.454,223.7,27,4.9,117,13,0.3,1.53,0.6497311772,0.29,0.123151661,3130,32,17903.6,31700,610,130,1.45
C645,86.092,-69.808,229.6,5.7,4.5,50,,,0.92,0.3906880281,0.44,0.1868507961,510,40,2917.2,0,0,66,1.16
C646,86.095,-71.427,217.3,12.4,5,87,8.8,0.37,0.5,0.2123304501,0.58,0.2463033221,860,38,4919.2,2300,1140,57,1.12
C647,86.098,-71.044,219.8,7.6,6.1,127,9.3,0.25,1.68,0.7134303122,0.17,0.07219235302,2670,13,15272.4,27400,390,267,1.84
C648,86.099,-69.438,229.8,13.4,5.3,4,10.9,0.9,2.18,0.9257607623,0.82,0.3482219381,10290,194,58858.8,53700,1470,18,5.79
C649,86.125,-71.478,219.1,12.5,8.9,167,18,0.13,2.05,0.8705548453,0.11,0.04671269902,7630,13,43643.6,79100,270,558,2.02
C650,86.14,-69.427,228.3,27,10.6,45,30.6,0.85,1.78,0.7558964023,1.06,0.4501405542,42220,123,241498.4,100600,2340,74,5.77
C651,86.142,-69.745,236.6,12.7,7.8,147,16.5,0.25,1.43,0.6072650872,0.41,0.1741109691,1780,36,10181.6,34900,800,197,1.35
C652,86.225,-69.357,227.9,16.2,11.2,171,24,0.07,2.36,1.002199724,0.08,0.03397287201,26970,5,154268.4,139700,190,1287,3.42
C653,86.232,-69.853,241,9.5,2.1,178,,,1.64,0.6964438762,0.88,0.3737015921,680,96,3889.6,0,0,36,0.9
C654,86.236,-69.427,224.4,13.9,6.5,89,14.9,0.82,,0,,0,970,144,5548.4,0,0,11,2.18
C655,86.279,-69.849,235.4,12.8,5.2,161,10.1,0.68,0.84,0.3567151561,0.7,0.2972626301,170,77,972.4,7400,1600,27,0.89
C656,86.318,-69.808,228.8,9.3,4.4,7,,,0.19,0.08068557103,2.48,1.053159032,8780,97,50221.6,0,0,60,2.54
C657,86.339,-67.125,285.7,12.9,7.9,95,16.8,0.17,0.87,0.3694549831,0.2,0.08493218003,3020,13,17274.4,13300,440,266,1.95
C658,86.37,-69.835,226.5,11.3,9.7,88,18,0.18,1.56,0.6624710042,0.17,0.07219235302,10430,19,59659.6,45300,400,304,2.92
C659,86.41,-69.345,226.2,15.3,6.7,88,16.2,0.2,1.15,0.4883600352,0.24,0.101918616,2470,22,14128.4,22300,610,206,1.93
C660,86.435,-67.154,284.5,9.3,4.6,178,3.1,0.39,1.25,0.5308261252,0.27,0.114658443,1210,50,6921.2,5100,610,120,1.35
C661,86.505,-69.601,242.9,16.6,6.9,29,17.4,0.51,0.91,0.3864414191,1.03,0.4374007271,1030,72,5891.6,14900,2330,33,1.46
C662,86.523,-71.118,224.1,4.3,3.9,45,,,0.99,0.4204142911,0.59,0.2505499311,310,63,1773.2,0,0,38,1.11
C663,86.524,-69.595,240.1,10.2,5.6,40,10.2,0.53,1.46,0.6200049142,0.47,0.1995906231,2260,48,12927.2,22500,1170,85,1.19
C664,86.548,-69.596,237.3,11.2,8.1,22,15.8,0.67,0.88,0.3737015921,0.72,0.3057558481,1430,75,8179.6,12700,1500,45,1.12
C665,86.567,-69.628,236,27.2,10,52,29.4,0.6,1.26,0.5350727342,1.41,0.5987718692,2930,107,16759.6,48800,2640,26,1.45
C666,86.59,-69.64,237.4,15.2,4.6,156,,,1.62,0.6879506582,0.69,0.2930160211,2540,91,14528.8,0,0,37,1.42
C667,86.606,-69.603,233.4,13.3,8.7,150,18.4,0.44,2.35,0.9979531153,0.31,0.131644879,6400,42,36608,105500,890,104,2.1
C668,86.646,-69.58,231,7.5,4.7,53,4.8,0.49,1.14,0.4841134262,0.31,0.131644879,2650,58,15158,6400,770,85,2.72
C669,86.659,-70.718,218.9,15.4,7.2,97,17.2,0.18,1.43,0.6072650872,0.14,0.05945252602,3970,13,22708.4,36900,310,359,1.71
C670,86.779,-69.838,226.3,12.1,4.7,170,6.5,0.32,0.73,0.3100024571,0.28,0.118905052,980,36,5605.6,3600,600,109,1.44
C671,86.784,-70.671,218.1,10.1,7.6,131,14,0.12,2.12,0.9002811083,0.11,0.04671269902,11090,9,63434.8,65500,260,520,3.22
C672,86.801,-70.769,222,12.2,9.1,38,18,0.2,3.04,1.290969136,0.19,0.08068557103,8810,21,50393.2,172800,520,421,2.01
C673,86.827,-69.89,222.4,8.7,6.8,35,11.5,0.41,1.02,0.4331541181,0.53,0.2250702771,5210,59,29801.2,12400,1080,77,2.68
C674,86.838,-70.773,216.2,11.1,7,144,13.9,0.51,0.96,0.4076744641,0.53,0.2250702771,1930,84,11039.6,13200,1200,90,1.54
C675,86.853,-70.712,218.1,18.9,6.4,41,17.1,0.33,1.4,0.5945252602,0.38,0.1613711421,5520,32,31574.4,34800,990,120,2.28
C676,86.88,-69.875,219.9,9.8,3.6,108,,,3.45,1.465080105,0.71,0.3015092391,7120,106,40726.4,0,0,43,2.33
C677,86.896,-69.973,224.2,9.3,7.8,55,13.6,0.15,1.8,0.7643896203,0.12,0.05095930802,3920,9,22422.4,45600,260,398,1.91
C678,86.9,-70.736,213.5,12.3,6.3,129,13.3,0.41,1.46,0.6200049142,0.45,0.1910974051,4120,28,23566.4,29500,1060,134,1.92
C679,86.941,-70.673,217.8,12,7.9,48,16.1,0.49,2.44,1.036172596,0.47,0.1995906231,10300,30,58916,99400,1180,231,1.81
C680,86.941,-70.118,227,11.1,9.6,102,17.6,0.17,1.97,0.8365819733,0.15,0.06369913502,5280,17,30201.6,71500,390,375,1.63
C681,87.004,-69.915,223,13.8,9.6,20,20,0.18,1.62,0.6879506582,0.26,0.110411834,7560,25,43243.2,54500,600,221,2.7
C682,87.039,-70.069,220.2,11.6,5.1,107,9,0.36,1.27,0.5393193432,0.41,0.1741109691,1610,36,9209.2,15300,920,124,1.22
C683,87.055,-70.652,217.8,10,7.1,158,13.2,0.16,2.94,1.248503046,0.22,0.09342539803,7460,19,42671.2,118700,480,312,2.89
C684,87.06,-69.879,224.2,10.2,7.2,83,13.6,0.24,1.63,0.6921972672,0.26,0.110411834,7570,26,43300.4,37400,540,200,2.95
C685,87.084,-70.616,212.8,11,8.2,26,15.7,0.21,2.04,0.8663082363,0.21,0.08917878903,3270,23,18704.4,68400,480,279,1.5
C686,87.098,-70.618,208,6.1,4.9,7,4.6,1.06,1.26,0.5350727342,0.48,0.2038372321,1000,35,5720,7600,1500,62,1.18
C687,87.1,-70.139,221.7,10.1,8.8,35,15.7,0.17,1.29,0.5478125612,0.17,0.07219235302,6440,21,36836.8,27200,380,253,3.11
C688,87.122,-70.12,224.2,11.4,8.5,164,16.5,0.8,0.47,0.1995906231,1.54,0.6539777862,1920,123,10982.4,3700,2750,15,2.19
C689,87.151,-70.101,226.6,8.6,6.1,48,10.3,0.56,1.19,0.5053464712,0.53,0.2250702771,3700,53,21164,15100,1230,71,2.71
C690,87.164,-70.578,208.2,10.7,5.8,169,11.1,0.25,1.24,0.5265795162,0.22,0.09342539803,2390,20,13670.8,17700,520,202,1.63
C691,87.178,-70.036,220.3,14.7,6,127,14,0.4,1.47,0.6242515232,0.28,0.118905052,2200,21,12584,31400,670,135,1.56
C692,88.8,-68.103,278.1,6.4,4.7,148,3.8,0.72,0.99,0.4204142911,0.36,0.1528779241,1110,35,6349.2,3900,1050,78,1.86
C693,88.864,-68.146,285.8,12.2,9.5,134,18.5,0.96,1.68,0.7134303122,0.62,0.2632897581,7230,90,41355.6,54300,1760,46,2.72
C694,88.957,-68.175,283.9,13.9,8.1,151,17.9,0.27,1.36,0.5775388242,0.39,0.1656177511,10620,32,60746.4,34200,880,191,2.91
